PollingInstitute;Published;StartCollection;EndCollection;PollYear;PollMonth;PollWeek;Date_numeric;PolicyIndicator;IncumbentParty;Government;GovernmentSupport;SocialdemokraternaS;VänsterpartietV;MiljöpartietMP;ModeraternaM;LiberalernaL;CenterpartietC;KristdemokraternaKD;SverigedemokraternaSD;Övriga partierÖvriga;Unemployment;UnemploymentTrend;HouseholdConsumption;HouseholdConsumptionDetrended;ConsumerPriceIndexFixedInterest;ConsumerPriceIndex;ConsumerConfidence;GovtSearch
Demoskop;2007-06-11T00:00:00Z;2007-05-31;2007-06-06;2007;Jun 2007;2007-24;13675;4;M FP C KD;M_FP_C_KD;47,2;37,7;3,6;8,2;30,1;7,2;6,1;3,8;2,7;0,6;7,8;6,1;3,7;5,4;1,1;1,9;101,97340;14
SCB;2007-06-14T00:00:00Z;2007-05-02;2007-05-28;2007;Jun 2007;2007-24;13678;4;M FP C KD;M_FP_C_KD;40,7;45,0;5,0;5,5;23,9;5,9;6,5;4,4;NA;3,8;7,8;6,1;3,7;5,4;1,1;1,9;101,97340;14
Sifo;2007-06-17T00:00:00Z;2007-06-04;2007-06-14;2007;Jun 2007;2007-24;13681;4;M FP C KD;M_FP_C_KD;42,8;40,9;4,6;7,2;25,3;6,6;7,1;3,8;3,4;1,1;7,8;6,1;3,7;5,4;1,1;1,9;101,97340;14
Ipsos;2007-06-24T00:00:00Z;2007-06-07;2007-06-20;2007;Jun 2007;2007-25;13688;4;M FP C KD;M_FP_C_KD;42,3;41,9;5,9;5,6;24,8;6,0;6,7;4,8;3,0;1,3;7,8;6,1;3,7;5,4;1,1;1,9;101,97340;14
Demoskop;2007-07-06T00:00:00Z;2007-06-28;2007-07-03;2007;Jul 2007;2007-27;13700;4;M FP C KD;M_FP_C_KD;44,5;42,0;5,0;5,8;29,2;6,4;5,5;3,4;NA;2,7;5,4;6,1;4,2;5,2;1,2;1,9;101,65460;14
Demoskop;2007-08-13T00:00:00Z;2007-07-31;2007-08-06;2007;Aug 2007;2007-33;13738;4;M FP C KD;M_FP_C_KD;41,3;44,0;6,1;5,9;27,0;5,2;5,6;3,5;NA;2,7;5,3;6,0;3,7;5,2;1,0;1,8;101,27350;14
Sifo;2007-08-19T00:00:00Z;2007-08-06;2007-08-16;2007;Aug 2007;2007-33;13744;4;M FP C KD;M_FP_C_KD;43,9;39,7;5,4;6,6;24,8;6,7;7,1;5,3;3,7;0,7;5,3;6,0;3,7;5,2;1,0;1,8;101,27350;14
Ipsos;2007-08-31T00:00:00Z;2007-08-20;2007-08-29;2007;Aug 2007;2007-35;13756;4;M FP C KD;M_FP_C_KD;42,3;41,6;5,6;6,1;25,3;6,2;5,9;4,9;3,3;1,1;5,3;6,0;3,7;5,2;1,0;1,8;101,27350;14
Demoskop;2007-09-07T00:00:00Z;2007-08-30;2007-09-05;2007;Sep 2007;2007-36;13763;4;M FP C KD;M_FP_C_KD;42,5;41,3;4,5;7,5;25,8;7,6;5,6;3,5;NA;4,2;5,6;6,0;4,2;4,9;1,3;2,2;101,03980;32
Skop;2007-09-12T00:00:00Z;2007-08-19;2007-09-06;2007;Sep 2007;2007-37;13768;4;M FP C KD;M_FP_C_KD;46,0;38,3;5,9;6,4;24,8;7,7;7,3;6,2;3,0;0,4;5,6;6,0;4,2;4,9;1,3;2,2;101,03980;32
Sifo;2007-09-16T00:00:00Z;2007-09-03;2007-09-13;2007;Sep 2007;2007-37;13772;4;M FP C KD;M_FP_C_KD;41,9;42,7;4,7;5,9;23,0;7,8;6,3;4,8;3,5;1,3;5,6;6,0;4,2;4,9;1,3;2,2;101,03980;32
Ipsos;2007-09-28T00:00:00Z;2007-09-12;2007-09-26;2007;Sep 2007;2007-39;13784;4;M FP C KD;M_FP_C_KD;40,2;44,6;5,8;5,6;23,8;6,8;5,7;3,9;2,3;1,5;5,6;6,0;4,2;4,9;1,3;2,2;101,03980;32
Demoskop;2007-10-08T00:00:00Z;2007-09-27;2007-10-04;2007;Oct 2007;2007-41;13794;4;M FP C KD;M_FP_C_KD;43,9;40,6;5,1;6,3;26,2;9,6;4,9;3,2;3,0;1,1;5,7;6,0;5,1;4,7;1,8;2,7;100,94010;29
Sifo;2007-10-14T00:00:00Z;2007-10-01;2007-10-11;2007;Oct 2007;2007-41;13800;4;M FP C KD;M_FP_C_KD;42,2;42,8;4,3;6,2;22,7;8,4;7,2;3,9;3,5;1,0;5,7;6,0;5,1;4,7;1,8;2,7;100,94010;29
Ipsos;2007-10-26T00:00:00Z;2007-10-08;2007-10-23;2007;Oct 2007;2007-43;13812;4;M FP C KD;M_FP_C_KD;40,2;44,3;5,6;5,3;23,4;6,7;6,1;4,0;3,2;1,4;5,7;6,0;5,1;4,7;1,8;2,7;100,94010;29
Ipsos;2007-11-07T00:00:00Z;2007-10-24;2007-11-05;2007;Nov 2007;2007-45;13824;4;M FP C KD;M_FP_C_KD;40,5;43,7;5,1;6,8;23,1;7,2;5,5;4,7;2,3;1,6;5,2;6,0;4,0;4,1;2,3;3,3;100,68890;14
Skop;2007-11-12T00:00:00Z;2007-10-17;2007-11-05;2007;Nov 2007;2007-46;13829;4;M FP C KD;M_FP_C_KD;44,7;39,1;5,8;6,8;22,9;8,8;8,3;4,7;2,8;0,8;5,2;6,0;4,0;4,1;2,3;3,3;100,68890;14
Demoskop;2007-11-14T00:00:00Z;2007-10-31;2007-11-08;2007;Nov 2007;2007-46;13831;4;M FP C KD;M_FP_C_KD;41,6;43,3;5,5;6,7;23,8;8,6;6,2;3,0;2,3;0,6;5,2;6,0;4,0;4,1;2,3;3,3;100,68890;14
Sifo;2007-11-18T00:00:00Z;2007-11-05;2007-11-15;2007;Nov 2007;2007-46;13835;4;M FP C KD;M_FP_C_KD;41,2;42,8;4,9;6,7;21,1;7,5;7,6;5,0;3,4;1,0;5,2;6,0;4,0;4,1;2,3;3,3;100,68890;14
Ipsos;2007-11-30T00:00:00Z;2007-11-14;2007-11-28;2007;Nov 2007;2007-48;13847;4;M FP C KD;M_FP_C_KD;38,6;46,2;5,0;6,0;21,6;6,6;6,0;4,4;2,8;1,4;5,2;6,0;4,0;4,1;2,3;3,3;100,68890;14
Demoskop;2007-12-10T00:00:00Z;2007-11-29;2007-12-06;2007;Dec 2007;2007-50;13857;4;M FP C KD;M_FP_C_KD;43,3;41,8;4,2;7,0;25,9;7,3;6,2;3,9;3,1;0,6;5,6;5,9;1,5;3,2;2,4;3,5;100,27320;21
Sifo;2007-12-16T00:00:00Z;2007-12-03;2007-12-13;2007;Dec 2007;2007-50;13863;4;M FP C KD;M_FP_C_KD;41,3;44,1;5,3;5,6;22,6;7,4;7,1;4,2;3,1;0,6;5,6;5,9;1,5;3,2;2,4;3,5;100,27320;21
Sentio;2007-12-20T00:00:00Z;2007-12-03;2007-12-17;2007;Dec 2007;2007-51;13867;4;M FP C KD;M_FP_C_KD;34,7;47,1;5,2;6,3;20,8;5,2;4,7;4,0;3,3;3,4;5,6;5,9;1,5;3,2;2,4;3,5;100,27320;21
Ipsos;2007-12-22T00:00:00Z;2007-12-10;2007-12-18;2007;Dec 2007;2007-51;13869;4;M FP C KD;M_FP_C_KD;39,1;46,7;4,8;5,6;21,8;6,6;6,5;4,2;2,9;0,9;5,6;5,9;1,5;3,2;2,4;3,5;100,27320;21
Skop;2008-01-07T00:00:00Z;2008-12-01;2008-12-28;2008;Jan 2008;2008-02;13885;4;M FP C KD;M_FP_C_KD;42,6;40,4;5,6;6,2;23,9;7,3;6,7;4,7;3,7;1,5;6,4;5,9;2,0;2,3;2,3;3,2;99,71803;23
Demoskop;2008-01-13T00:00:00Z;2008-01-02;2008-01-09;2008;Jan 2008;2008-02;13891;4;M FP C KD;M_FP_C_KD;38,6;44,3;5,8;7,5;20,7;9,3;5,6;3,0;2,8;1,0;6,4;5,9;2,0;2,3;2,3;3,2;99,71803;23
Sifo;2008-01-20T00:00:00Z;2008-01-07;2008-01-17;2008;Jan 2008;2008-03;13898;4;M FP C KD;M_FP_C_KD;39,9;43,1;6,0;7,2;20,4;7,4;6,8;5,3;2,9;0,9;6,4;5,9;2,0;2,3;2,3;3,2;99,71803;23
Ipsos;2008-01-25T00:00:00Z;2008-01-10;2008-01-23;2008;Jan 2008;2008-04;13903;4;M FP C KD;M_FP_C_KD;37,9;46,8;5,6;6,0;21,7;6,9;5,9;3,4;2,1;1,6;6,4;5,9;2,0;2,3;2,3;3,2;99,71803;23
Sentio;2008-02-02T00:00:00Z;2008-12-03;2008-12-17;2008;Feb 2008;2008-05;13911;4;M FP C KD;M_FP_C_KD;35,0;46,2;6,1;5,9;19,0;6,5;5,1;4,4;3,4;3,4;6,1;5,9;0,9;1,3;2,3;3,1;99,25944;21
Demoskop;2008-02-10T00:00:00Z;2008-01-30;2008-02-06;2008;Feb 2008;2008-06;13919;4;M FP C KD;M_FP_C_KD;41,1;43,6;5,6;5,7;25,1;5,8;6,3;3,9;3,2;0,8;6,1;5,9;0,9;1,3;2,3;3,1;99,25944;21
Skop;2008-02-14T00:00:00Z;2008-01-21;2008-02-13;2008;Feb 2008;2008-07;13923;4;M FP C KD;M_FP_C_KD;44,4;40,7;5,4;6,0;23,5;8,8;6,7;5,4;2,8;0,7;6,1;5,9;0,9;1,3;2,3;3,1;99,25944;21
Sifo;2008-02-17T00:00:00Z;2008-02-04;2008-02-14;2008;Feb 2008;2008-07;13926;4;M FP C KD;M_FP_C_KD;38,2;45,5;5,5;6,6;21,4;6,6;6,0;4,2;2,9;1,3;6,1;5,9;0,9;1,3;2,3;3,1;99,25944;21
Ipsos;2008-02-29T00:00:00Z;2008-02-14;2008-02-27;2008;Feb 2008;2008-09;13938;4;M FP C KD;M_FP_C_KD;40,2;43,7;5,1;6,4;22,6;7,8;6,8;3,0;3,0;1,6;6,1;5,9;0,9;1,3;2,3;3,1;99,25944;21
Novus;2008-03-01T00:00:00Z;2008-02-11;2008-02-24;2008;Mar 2008;2008-09;13939;4;M FP C KD;M_FP_C_KD;38,4;43,7;5,6;5,8;21,4;6,7;6,2;4,1;3,3;3,2;6,3;5,9;-1,3;0,5;2,6;3,4;99,09092;27
Demoskop;2008-03-10T00:00:00Z;2008-02-27;2008-03-05;2008;Mar 2008;2008-11;13948;4;M FP C KD;M_FP_C_KD;40,9;44,4;3,3;7,7;23,1;8,3;6,3;3,2;2,5;1,2;6,3;5,9;-1,3;0,5;2,6;3,4;99,09092;27
Sifo;2008-03-16T00:00:00Z;2008-03-03;2008-03-13;2008;Mar 2008;2008-11;13954;4;M FP C KD;M_FP_C_KD;39,9;43,3;5,7;7,0;22,0;7,6;5,8;4,5;3,7;0,4;6,3;5,9;-1,3;0,5;2,6;3,4;99,09092;27
Ipsos;2008-03-29T00:00:00Z;2008-03-13;2008-03-26;2008;Mar 2008;2008-13;13967;4;M FP C KD;M_FP_C_KD;41,6;42,5;6,1;6,2;24,5;6,8;6,3;4,0;2,0;1,6;6,3;5,9;-1,3;0,5;2,6;3,4;99,09092;27
Skop;2008-04-06T00:00:00Z;2008-03-01;2008-04-04;2008;Apr 2008;2008-14;13975;4;M FP C KD;M_FP_C_KD;44,5;38,8;4,4;6,3;24,3;7,0;7,5;5,7;3,2;2,8;6,0;5,9;3,3;-0,1;2,5;3,3;98,72968;19
Demoskop;2008-04-06T00:00:00Z;2008-03-26;2008-04-02;2008;Apr 2008;2008-14;13975;4;M FP C KD;M_FP_C_KD;41,2;43,4;3,9;7,4;26,1;6,8;5,0;3,3;3,1;1,0;6,0;5,9;3,3;-0,1;2,5;3,3;98,72968;19
Sifo;2008-04-13T00:00:00Z;2008-03-31;2008-04-10;2008;Apr 2008;2008-15;13982;4;M FP C KD;M_FP_C_KD;41,2;41,4;6,7;6,6;22,8;6,9;6,7;4,8;2,9;1,2;6,0;5,9;3,3;-0,1;2,5;3,3;98,72968;19
Ipsos;2008-04-25T00:00:00Z;2008-04-10;2008-04-23;2008;Apr 2008;2008-17;13994;4;M FP C KD;M_FP_C_KD;40,3;44,8;6,0;5,6;22,0;7,8;5,8;4,7;2,9;0,4;6,0;5,9;3,3;-0,1;2,5;3,3;98,72968;19
Novus;2008-05-02T00:00:00Z;2008-04-14;2008-04-27;2008;May 2008;2008-18;14001;4;M FP C KD;M_FP_C_KD;39,7;42,5;5,5;6,0;21,3;7,9;5,9;4,6;3,3;3,0;5,9;5,9;2,3;-0,7;3,0;3,9;98,11550;24
Demoskop;2008-05-09T00:00:00Z;2008-04-29;2008-05-06;2008;May 2008;2008-19;14008;4;M FP C KD;M_FP_C_KD;38,0;44,1;5,9;6,8;21,9;6,3;6,0;3,8;4,2;1,0;5,9;5,9;2,3;-0,7;3,0;3,9;98,11550;24
Skop;2008-05-17T00:00:00Z;2008-04-15;2008-05-14;2008;May 2008;2008-20;14016;4;M FP C KD;M_FP_C_KD;45,1;38,8;5,6;6,8;24,8;8,3;6,7;5,3;2,9;0,8;5,9;5,9;2,3;-0,7;3,0;3,9;98,11550;24
Sifo;2008-05-18T00:00:00Z;2008-05-05;2008-05-15;2008;May 2008;2008-20;14017;4;M FP C KD;M_FP_C_KD;41,2;43,6;5,1;5,6;22,1;7,0;6,5;5,6;3,4;1,1;5,9;5,9;2,3;-0,7;3,0;3,9;98,11550;24
Ipsos;2008-05-31T00:00:00Z;2008-05-12;2008-05-28;2008;May 2008;2008-22;14030;4;M FP C KD;M_FP_C_KD;39,4;44,1;5,6;6,3;21,9;6,8;6,5;4,2;2,9;1,7;5,9;5,9;2,3;-0,7;3,0;3,9;98,11550;24
Demoskop;2008-06-08T00:00:00Z;2008-05-28;2008-06-04;2008;Jun 2008;2008-23;14038;4;M FP C KD;M_FP_C_KD;40,5;44,4;4,6;6,8;22,0;7,7;6,3;4,5;2,5;1,2;8,1;6,0;0,1;-1,0;3,3;4,2;97,32487;12
SCB;2008-06-11T00:00:00Z;2008-04-28;2008-05-25;2008;Jun 2008;2008-24;14041;4;M FP C KD;M_FP_C_KD;40,0;44,7;5,1;5,9;22,4;6,8;6,2;4,6;2,8;1,5;8,1;6,0;0,1;-1,0;3,3;4,2;97,32487;12
Sifo;2008-06-15T00:00:00Z;2008-06-02;2008-06-12;2008;Jun 2008;2008-24;14045;4;M FP C KD;M_FP_C_KD;40,2;41,6;5,4;6,6;22,6;7,7;5,5;4,4;4,2;2,0;8,1;6,0;0,1;-1,0;3,3;4,2;97,32487;12
Ipsos;2008-06-23T00:00:00Z;2008-06-04;2008-06-17;2008;Jun 2008;2008-26;14053;4;M FP C KD;M_FP_C_KD;39,4;43,9;6,2;5,6;22,4;6,4;6,2;4,4;3,9;1,0;8,1;6,0;0,1;-1,0;3,3;4,2;97,32487;12
Skop;2008-06-24T00:00:00Z;2008-05-15;2008-06-14;2008;Jun 2008;2008-26;14054;4;M FP C KD;M_FP_C_KD;45,7;36,8;6,8;7,2;26,2;7,5;6,5;5,5;2,5;1,0;8,1;6,0;0,1;-1,0;3,3;4,2;97,32487;12
Demoskop;2008-07-02T00:00:00Z;2008-06-25;2008-07-01;2008;Jul 2008;2008-27;14062;4;M FP C KD;M_FP_C_KD;39,2;43,5;5,8;6,9;24,4;6,3;5,4;3,1;2,6;2,0;5,8;6,1;0,7;-1,2;3,2;4,1;96,74014;10
Skop;2008-07-16T00:00:00Z;2008-06-16;2008-07-12;2008;Jul 2008;2008-29;14076;4;M FP C KD;M_FP_C_KD;42,9;38,9;5,6;7,2;23,0;7,5;6,9;5,5;4,0;1,4;5,8;6,1;0,7;-1,2;3,2;4,1;96,74014;10
Sentio;2008-08-05T00:00:00Z;2008-07-15;2008-07-20;2008;Aug 2008;2008-32;14096;4;M FP C KD;M_FP_C_KD;35,7;42,2;6,6;6,4;21,2;5,9;4,9;3,7;5,5;3,6;5,2;6,2;-0,6;-1,7;3,4;4,3;96,58620;13
Sifo;2008-08-24T00:00:00Z;2008-08-11;2008-08-21;2008;Aug 2008;2008-34;14115;4;M FP C KD;M_FP_C_KD;40,7;42,8;5,1;5,5;22,2;6,8;6,7;5,0;4,4;1,5;5,2;6,2;-0,6;-1,7;3,4;4,3;96,58620;13
Ipsos;2008-08-29T00:00:00Z;2008-08-18;2008-08-27;2008;Aug 2008;2008-35;14120;4;M FP C KD;M_FP_C_KD;38,7;45,4;5,3;5,8;22,4;6,8;6,2;3,3;3,3;1,5;5,2;6,2;-0,6;-1,7;3,4;4,3;96,58620;13
Novus;2008-08-31T00:00:00Z;2008-08-12;2008-08-26;2008;Aug 2008;2008-35;14122;4;M FP C KD;M_FP_C_KD;39,1;42,4;5,9;6,6;21,3;6,7;6,2;4,9;3,7;2,3;5,2;6,2;-0,6;-1,7;3,4;4,3;96,58620;13
Demoskop;2008-09-12T00:00:00Z;2008-08-27;2008-09-03;2008;Sep 2008;2008-37;14134;4;M FP C KD;M_FP_C_KD;39,9;45,6;6,2;5,6;24,1;8,1;4,5;3,2;2,1;0,6;5,9;6,3;-1,9;-2,0;3,5;4,4;96,58484;24
Sifo;2008-09-14T00:00:00Z;2008-09-01;2008-09-11;2008;Sep 2008;2008-37;14136;4;M FP C KD;M_FP_C_KD;39,6;42,5;5,6;6,4;21,2;7,5;6,0;4,9;4,4;1,5;5,9;6,3;-1,9;-2,0;3,5;4,4;96,58484;24
Skop;2008-09-15T00:00:00Z;2008-08-18;2008-09-10;2008;Sep 2008;2008-38;14137;4;M FP C KD;M_FP_C_KD;43,6;40,2;5,6;6,3;22,4;8,3;7,6;5,3;3,7;0,6;5,9;6,3;-1,9;-2,0;3,5;4,4;96,58484;24
Ipsos;2008-09-26T00:00:00Z;2008-09-08;2008-09-24;2008;Sep 2008;2008-39;14148;4;M FP C KD;M_FP_C_KD;37,9;45,7;5,1;6,2;21,6;6,5;6,1;3,7;3,8;1,3;5,9;6,3;-1,9;-2,0;3,5;4,4;96,58484;24
Demoskop;2008-10-07T00:00:00Z;2008-09-24;2008-10-01;2008;Oct 2008;2008-41;14159;4;M FP C KD;M_FP_C_KD;41,0;44,9;4,3;4,8;28,4;4,9;4,5;3,2;4,5;0,5;5,7;6,5;-1,0;-2,3;2,8;4,0;96,51324;25
Novus;2008-10-18T00:00:00Z;2008-09-30;2008-10-13;2008;Oct 2008;2008-42;14170;4;M FP C KD;M_FP_C_KD;38,8;40,8;6,1;6,4;22,8;6,2;5,5;4,3;3,8;4,1;5,7;6,5;-1,0;-2,3;2,8;4,0;96,51324;25
Ipsos;2008-10-18T00:00:00Z;2008-09-29;2008-10-16;2008;Oct 2008;2008-42;14170;4;M FP C KD;M_FP_C_KD;41,3;42,5;5,9;5,6;24,0;6,6;7,0;3,7;3,4;1,3;5,7;6,5;-1,0;-2,3;2,8;4,0;96,51324;25
Sifo;2008-10-19T00:00:00Z;2008-10-06;2008-10-16;2008;Oct 2008;2008-42;14171;4;M FP C KD;M_FP_C_KD;41,6;42,5;5,4;6,4;24,6;6,2;6,7;4,1;3,5;0,6;5,7;6,5;-1,0;-2,3;2,8;4,0;96,51324;25
Ipsos;2008-10-31T00:00:00Z;2008-10-14;2008-10-29;2008;Oct 2008;2008-44;14183;4;M FP C KD;M_FP_C_KD;42,3;39,5;7,4;7,3;26,1;7,3;5,6;3,3;2,3;1,2;5,7;6,5;-1,0;-2,3;2,8;4,0;96,51324;25
Skop;2008-11-07T00:00:00Z;2008-09-22;2008-10-26;2008;Nov 2008;2008-45;14190;4;M FP C KD;M_FP_C_KD;43,2;36,8;7,7;6,2;23,6;7,3;6,8;5,5;4,7;1,4;6,2;6,7;-3,4;-2,5;1,8;2,5;96,65025;35
Demoskop;2008-11-07T00:00:00Z;2008-10-29;2008-11-04;2008;Nov 2008;2008-45;14190;4;M FP C KD;M_FP_C_KD;45,2;39,1;5,7;5,7;29,0;6,4;5,4;4,4;3,4;0,9;6,2;6,7;-3,4;-2,5;1,8;2,5;96,65025;35
Sifo;2008-11-16T00:00:00Z;2008-11-03;2008-11-13;2008;Nov 2008;2008-46;14199;4;M FP C KD;M_FP_C_KD;43,2;39,6;4,7;7,5;25,8;6,9;6,3;4,2;4,2;0,8;6,2;6,7;-3,4;-2,5;1,8;2,5;96,65025;35
Novus;2008-11-22T00:00:00Z;2008-11-04;2008-11-17;2008;Nov 2008;2008-47;14205;4;M FP C KD;M_FP_C_KD;42,4;37,2;6,6;7,7;25,5;7,3;5,3;4,3;4,1;2,0;6,2;6,7;-3,4;-2,5;1,8;2,5;96,65025;35
Ipsos;2008-11-28T00:00:00Z;2008-11-10;2008-11-26;2008;Nov 2008;2008-48;14211;4;M FP C KD;M_FP_C_KD;40,8;42,3;5,3;6,5;25,2;5,5;5,7;4,4;3,6;1,5;6,2;6,7;-3,4;-2,5;1,8;2,5;96,65025;35
Skop;2008-12-01T00:00:00Z;2008-10-27;2008-11-26;2008;Dec 2008;2008-49;14214;4;M FP C KD;M_FP_C_KD;46,9;37,4;5,4;7,2;26,1;7,6;7,3;5,9;2,6;0,5;6,4;7,0;-4,2;-2,5;1,6;0,9;96,87717;27
Demoskop;2008-12-07T00:00:00Z;2008-11-26;2008-12-03;2008;Dec 2008;2008-49;14220;4;M FP C KD;M_FP_C_KD;43,1;39,7;7,7;6,3;29,1;6,8;4,0;3,2;2,3;0,9;6,4;7,0;-4,2;-2,5;1,6;0,9;96,87717;27
Sifo;2008-12-14T00:00:00Z;2008-12-01;2008-12-11;2008;Dec 2008;2008-50;14227;4;M FP C KD;M_FP_C_KD;43,8;37,1;6,5;7,4;27,2;7,1;5,5;4,0;4,5;0,7;6,4;7,0;-4,2;-2,5;1,6;0,9;96,87717;27
Ipsos;2008-12-20T00:00:00Z;2008-12-08;2008-12-17;2008;Dec 2008;2008-51;14233;4;M FP C KD;M_FP_C_KD;43,6;40,0;7,2;5,6;26,7;6,5;5,9;4,5;2,6;1,0;6,4;7,0;-4,2;-2,5;1,6;0,9;96,87717;27
Novus;2008-12-25T00:00:00Z;2008-12-02;2008-12-15;2008;Dec 2008;2008-52;14238;4;M FP C KD;M_FP_C_KD;44,1;37,8;7,2;7,3;27,9;5,8;6,2;4,2;2,3;1,3;6,4;7,0;-4,2;-2,5;1,6;0,9;96,87717;27
Skop;2009-01-11T00:00:00Z;2008-12-11;2009-01-07;2009;Jan 2009;2009-02;14255;4;M FP C KD;M_FP_C_KD;44,6;36,4;6,2;7,3;27,1;6,9;6,3;4,3;3,4;2,1;7,3;7,2;-1,5;-2,2;2,1;1,3;97,22845;28
Demoskop;2009-01-11T00:00:00Z;2009-01-02;2009-01-08;2009;Jan 2009;2009-02;14255;4;M FP C KD;M_FP_C_KD;45,3;38,1;6,8;6,6;31,5;6,1;5,2;2,5;2,5;0,7;7,3;7,2;-1,5;-2,2;2,1;1,3;97,22845;28
Sentio;2009-01-24T00:00:00Z;2009-01-06;2009-01-18;2009;Jan 2009;2009-04;14268;NA;M FP C KD;M_FP_C_KD;41,2;40,3;6,1;7,3;25,4;6,5;5,5;3,8;2,2;2,9;7,3;7,2;-1,5;-2,2;2,1;1,3;97,22845;28
Novus;2009-01-24T00:00:00Z;2009-01-06;2009-01-19;2009;Jan 2009;2009-04;14268;NA;M FP C KD;M_FP_C_KD;42,4;38,8;6,7;7,6;25,5;6,1;5,7;5,1;3,0;1,5;7,3;7,2;-1,5;-2,2;2,1;1,3;97,22845;28
Sifo;2009-01-25T00:00:00Z;2009-01-12;2009-01-22;2009;Jan 2009;2009-04;14269;NA;M FP C KD;M_FP_C_KD;44,3;37,7;5,7;6,6;27,3;6,7;5,9;4,4;4,3;1,4;7,3;7,2;-1,5;-2,2;2,1;1,3;97,22845;28
Ipsos;2009-01-30T00:00:00Z;2009-01-13;2009-01-28;2009;Jan 2009;2009-05;14274;NA;M FP C KD;M_FP_C_KD;42,8;40,1;6,0;6,0;26,8;5,9;6,0;4,1;3,7;1,4;7,3;7,2;-1,5;-2,2;2,1;1,3;97,22845;28
Demoskop;2009-02-08T00:00:00Z;2009-01-28;2009-02-04;2009;Feb 2009;2009-06;14283;5;M FP C KD;M_FP_C_KD;44,7;40,2;5,2;6,6;29,0;6,5;5,0;4,2;2,3;1,0;8,0;7,4;-0,8;-1,9;2,3;0,9;97,50292;29
Sifo;2009-02-15T00:00:00Z;2009-02-02;2009-02-12;2009;Feb 2009;2009-07;14290;5;M FP C KD;M_FP_C_KD;44,1;37,9;5,6;7,7;26,2;7,7;5,9;4,3;3,5;1,2;8,0;7,4;-0,8;-1,9;2,3;0,9;97,50292;29
Novus;2009-02-21T00:00:00Z;2009-02-03;2009-02-16;2009;Feb 2009;2009-08;14296;5;M FP C KD;M_FP_C_KD;43,2;36,7;6,4;7,5;27,3;7,2;5,3;3,4;4,1;2,1;8,0;7,4;-0,8;-1,9;2,3;0,9;97,50292;29
Skop;2009-02-23T00:00:00Z;2009-01-25;2009-02-19;2009;Feb 2009;2009-09;14298;5;M FP C KD;M_FP_C_KD;46,4;35,5;6,2;7,2;27,5;7,3;7,1;4,5;2,7;2,0;8,0;7,4;-0,8;-1,9;2,3;0,9;97,50292;29
Ipsos;2009-02-28T00:00:00Z;2009-02-10;2009-02-25;2009;Feb 2009;2009-09;14303;5;M FP C KD;M_FP_C_KD;46,0;38,1;5,6;6,3;28,8;7,1;5,2;4,9;2,9;1,1;8,0;7,4;-0,8;-1,9;2,3;0,9;97,50292;29
Demoskop;2009-03-11T00:00:00Z;2009-02-25;2009-03-03;2009;Mar 2009;2009-11;14314;5;M FP C KD;M_FP_C_KD;44,5;39,5;7,2;6,0;26,5;8,4;6,0;3,6;2,1;0,7;8,3;7,7;-0,8;-1,7;1,9;0,2;97,60016;31
Sifo;2009-03-15T00:00:00Z;2009-03-02;2009-03-12;2009;Mar 2009;2009-11;14318;5;M FP C KD;M_FP_C_KD;46,3;37,5;5,5;6,6;31,1;5,6;6,3;3,3;2,6;1,5;8,3;7,7;-0,8;-1,7;1,9;0,2;97,60016;31
Novus;2009-03-21T00:00:00Z;2009-03-03;2009-03-16;2009;Mar 2009;2009-12;14324;5;M FP C KD;M_FP_C_KD;45,5;36,2;6,7;6,1;29,3;6,1;5,4;4,7;4,0;1,5;8,3;7,7;-0,8;-1,7;1,9;0,2;97,60016;31
Ipsos;2009-03-28T00:00:00Z;2009-03-10;2009-03-25;2009;Mar 2009;2009-13;14331;5;M FP C KD;M_FP_C_KD;46,0;37,5;7,0;5,1;29,3;6,8;5,7;4,2;3,3;1,1;8,3;7,7;-0,8;-1,7;1,9;0,2;97,60016;31
Skop;2009-04-04T00:00:00Z;2009-02-26;2009-04-01;2009;Apr 2009;2009-14;14338;5;M FP C KD;M_FP_C_KD;48,8;33,9;5,6;6,7;33,4;6,0;6,1;3,3;3,6;1,4;8,3;7,9;-1,2;-1,5;1,8;-0,1;97,89326;18
Demoskop;2009-04-04T00:00:00Z;2009-03-25;2009-04-02;2009;Apr 2009;2009-14;14338;5;M FP C KD;M_FP_C_KD;50,0;30,9;6,8;7,5;35,5;7,3;3,4;3,8;4,2;0,6;8,3;7,9;-1,2;-1,5;1,8;-0,1;97,89326;18
Skop;2009-04-19T00:00:00Z;2009-04-01;2009-04-18;2009;Apr 2009;2009-16;14353;5;M FP C KD;M_FP_C_KD;50,6;33,8;6,7;5,0;33,2;6,5;7,0;3,9;3,2;0,7;8,3;7,9;-1,2;-1,5;1,8;-0,1;97,89326;18
Sifo;2009-04-19T00:00:00Z;2009-04-06;2009-04-16;2009;Apr 2009;2009-16;14353;5;M FP C KD;M_FP_C_KD;47,3;34,6;5,3;8,6;30,6;6,8;5,8;4,1;2,8;1,4;8,3;7,9;-1,2;-1,5;1,8;-0,1;97,89326;18
